Airline,Flights,arrdelay,depdelay,totalmin,proportion
AirTran,46991,63.5959,57.97778,2988435,63.59590134
Alaska Airlines,24012,56.65905,53.93287,1360497,56.65904548
Aloha Airlines,340,42.83824,43.18824,14565,42.83823529
American Airlines,132257,65.75746,61.09972,8696884,65.75745707
American Eagle Airlines,97555,63.41386,57.52625,6186339,63.41385885
Atlantic Southeas,56781,66.49136,63.89803,3775446,66.49136155
Comair,39292,66.59692,60.40627,2616726,66.5969154
Continental Airlines,58958,67.46408,63.44664,3977547,67.46407612
Delta Airlines ,72252,60.84351,54.06509,4396065,60.84350606
Endeavor Air,35630,66.14729,62.76893,2356828,66.14729161
ExpressJet,72008,70.19958,66.01991,5054931,70.19957505
Frontier Airlines ,15940,45.25383,40.13996,721346,45.25382685
Hawaiian Airlines ,4325,53.94844,49.67908,233327,53.94843931
JetBlue Airways ,38232,78.60591,72.79248,3005261,78.60590605
Mesa Airlines ,50646,71.09938,68.81487,3600899,71.09937606
Northwest Airlines ,54744,61.3088,53.99951,3356289,61.30880096
Skywest Airlines  ,88991,64.76856,60.55129,5763819,64.76856087
Southwest Airlines,203559,52.64652,53.51976,10716672,52.64651526
United Airlines,95465,69.49174,67.22077,6634029,69.49174043
US Airways ,59508,58.79505,55.47446,3498776,58.79505277
